time,joint1,joint2,joint3,joint4,joint5,joint6,description
14.400,1.5760,0.7889,-2.7179,0.0000,0.0000,0.0000,Frame 360
14.520,1.6319,0.5587,-2.7226,0.0000,0.0000,0.0000,Frame 363
14.640,1.6286,0.5551,-2.7149,0.0000,0.0000,0.0000,Frame 366
14.760,1.4419,0.5243,-2.6228,0.0000,0.0000,0.0000,Frame 369
14.880,1.3790,0.5071,-2.6383,0.0000,0.0000,0.0000,Frame 372
15.000,1.3515,0.5124,-2.5412,0.0000,0.0000,0.0000,Frame 375
15.120,1.3021,0.7382,-2.5130,0.0000,0.0000,0.0000,Frame 378
15.240,1.1199,0.7470,-2.4394,0.0000,0.0000,0.0000,Frame 381
15.360,1.0950,0.7789,-2.5048,0.0000,0.0000,0.0000,Frame 384
15.480,0.9476,0.8141,-2.4669,0.0000,0.0000,0.0000,Frame 387
15.600,0.7639,0.8405,-2.4813,0.0000,0.0000,0.0000,Frame 390
15.720,0.5999,0.6372,-2.4561,0.0000,0.0000,0.0000,Frame 393
15.840,0.7295,0.6265,-2.5500,0.0000,0.0000,0.0000,Frame 396
15.960,0.9224,0.6064,-2.6046,0.0000,0.0000,0.0000,Frame 399
16.080,1.1000,0.6205,-2.4839,0.0000,0.0000,0.0000,Frame 402
16.200,1.2808,0.6374,-2.3912,0.0000,0.0000,0.0000,Frame 405
16.320,1.4707,0.6391,-2.3891,0.0000,0.0000,0.0000,Frame 408
16.440,1.5251,0.6587,-2.3699,0.0000,0.0000,0.0000,Frame 411
16.560,1.5379,0.7244,-2.2434,0.0000,0.0000,0.0000,Frame 414
16.680,1.5530,0.7229,-2.2870,0.0000,0.0000,0.0000,Frame 417
16.800,1.5632,0.7152,-2.3389,0.0000,0.0000,0.0000,Frame 420
16.920,1.5652,0.7208,-2.3103,0.0000,0.0000,0.0000,Frame 423
17.040,1.5669,0.7134,-2.3007,0.0000,0.0000,0.0000,Frame 426
17.160,1.5444,0.8613,-2.4538,0.0000,0.0000,0.0000,Frame 429
17.280,1.3832,1.0449,-2.4595,0.0000,0.0000,0.0000,Frame 432
17.400,1.2733,1.2322,-2.0974,0.0000,0.0000,0.0000,Frame 435
17.520,1.2327,1.2021,-2.1788,0.0000,0.0000,0.0000,Frame 438
17.640,1.1836,1.4154,-2.2207,0.0000,0.0000,0.0000,Frame 441
17.760,0.5764,1.4266,-2.2789,0.0000,0.0000,0.0000,Frame 444
17.880,0.8794,1.6118,-2.2991,0.0000,0.0000,0.0000,Frame 447
18.000,0.9939,1.8108,-2.3835,0.0000,0.0000,0.0000,Frame 450
18.120,1.0397,1.8946,-2.3151,0.0000,0.0000,0.0000,Frame 453
18.240,1.1199,1.8178,-2.0880,0.0000,0.0000,0.0000,Frame 456
18.360,1.7577,1.6088,-1.9862,0.0000,0.0000,0.0000,Frame 459
18.480,1.6167,1.2091,-2.0113,0.0000,0.0000,0.0000,Frame 462
18.600,1.5682,1.0144,-2.3553,0.0000,0.0000,0.0000,Frame 465
18.720,1.4067,1.1611,-2.3670,0.0000,0.0000,0.0000,Frame 468
18.840,1.2629,1.2375,-2.6225,0.0000,0.0000,0.0000,Frame 471
18.960,1.2551,1.2111,-2.6060,0.0000,0.0000,0.0000,Frame 474
19.080,1.3488,1.2001,-2.6625,0.0000,0.0000,0.0000,Frame 477
19.200,1.4170,0.9795,-2.6774,0.0000,0.0000,0.0000,Frame 480
19.320,1.5538,0.7514,-2.7809,0.0000,0.0000,0.0000,Frame 483
19.440,1.6263,0.7548,-2.8141,0.0000,0.0000,0.0000,Frame 486
19.560,1.5556,0.9899,-2.9211,0.0000,0.0000,0.0000,Frame 489
19.680,1.3904,1.2264,-2.9087,0.0000,0.0000,0.0000,Frame 492
19.800,1.2704,1.5094,-2.7811,0.0000,0.0000,0.0000,Frame 495
19.920,1.0704,1.9468,-2.4943,0.0000,0.0000,0.0000,Frame 498
20.040,1.0925,2.0976,-2.2669,0.0000,0.0000,0.0000,Frame 501
20.160,1.1701,2.1511,-2.1968,0.0000,0.0000,0.0000,Frame 504
20.280,1.2438,2.1941,-2.2335,0.0000,0.0000,0.0000,Frame 507
20.400,1.3295,2.1956,-2.3595,0.0000,0.0000,0.0000,Frame 510
20.520,1.5264,2.0031,-2.6100,0.0000,0.0000,0.0000,Frame 513
20.640,1.5035,1.8544,-2.7768,0.0000,0.0000,0.0000,Frame 516
20.760,1.4354,1.5683,-2.7704,0.0000,0.0000,0.0000,Frame 519
20.880,1.4141,1.5102,-2.7580,0.0000,0.0000,0.0000,Frame 522
21.000,0.8038,1.4642,-2.8038,0.0000,0.0000,0.0000,Frame 525
21.120,0.9047,1.6386,-2.6555,0.0000,0.0000,0.0000,Frame 528
21.240,0.9691,1.6761,-2.6207,0.0000,0.0000,0.0000,Frame 531
21.360,1.0435,1.6782,-2.6030,0.0000,0.0000,0.0000,Frame 534
21.480,1.0933,1.5199,-2.4956,0.0000,0.0000,0.0000,Frame 537
21.600,1.8015,1.4160,-2.3523,0.0000,0.0000,0.0000,Frame 540
21.720,1.8538,1.1845,-2.3950,0.0000,0.0000,0.0000,Frame 543
21.840,1.9026,1.0428,-2.3931,0.0000,0.0000,0.0000,Frame 546
21.960,1.8775,1.0664,-2.4397,0.0000,0.0000,0.0000,Frame 549
22.080,1.8054,1.0007,-2.5375,0.0000,0.0000,0.0000,Frame 552
22.200,1.5648,1.0817,-2.5815,0.0000,0.0000,0.0000,Frame 555
22.320,1.2679,1.1213,-2.6016,0.0000,0.0000,0.0000,Frame 558
22.440,1.0171,1.2225,-2.5376,0.0000,0.0000,0.0000,Frame 561
22.560,0.8575,1.4203,-2.4380,0.0000,0.0000,0.0000,Frame 564
22.680,0.7356,1.6443,-2.3736,0.0000,0.0000,0.0000,Frame 567
22.800,0.7195,1.6463,-2.3256,0.0000,0.0000,0.0000,Frame 570
22.920,0.7386,1.6466,-2.3119,0.0000,0.0000,0.0000,Frame 573
23.040,0.8203,1.6471,-2.4279,0.0000,0.0000,0.0000,Frame 576
23.160,0.9179,1.6496,-2.5410,0.0000,0.0000,0.0000,Frame 579
23.280,0.9596,1.6525,-2.5735,0.0000,0.0000,0.0000,Frame 582
23.400,1.0384,1.6537,-2.6674,0.0000,0.0000,0.0000,Frame 585
