time,joint1,joint2,joint3,joint4,joint5,joint6,description
27.896,-0.175,0.480,-0.100,0.000,0.000,0.000,Frame 130
27.936,-0.175,0.480,-0.100,0.000,0.000,0.000,Frame 131
27.976,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 132
28.016,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 133
28.056,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 134
28.096,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 135
28.136,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 136
28.176,-0.177,0.480,-0.100,0.000,0.000,0.000,Frame 137
28.216,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 138
28.256,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 139
28.296,-0.181,0.480,-0.100,0.000,0.000,0.000,Frame 140
28.336,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 141
28.376,-0.173,0.480,-0.100,0.000,0.000,0.000,Frame 142
28.416,-0.171,0.480,-0.100,0.000,0.000,0.000,Frame 143
28.456,-0.172,0.480,-0.100,0.000,0.000,0.000,Frame 144
28.497,-0.176,0.480,-0.100,0.000,0.000,0.000,Frame 145
28.537,-0.177,0.480,-0.100,0.000,0.000,0.000,Frame 146
28.577,-0.176,0.480,-0.100,0.000,0.000,0.000,Frame 147
28.617,-0.170,0.480,-0.100,0.000,0.000,0.000,Frame 148
28.657,-0.163,0.480,-0.100,0.000,0.000,0.000,Frame 149
28.697,-0.151,0.480,-0.100,0.000,0.000,0.000,Frame 150
28.737,-0.133,0.480,-0.100,0.000,0.000,0.000,Frame 151
28.777,-0.121,0.480,-0.100,0.000,0.000,0.000,Frame 152
28.817,-0.114,0.480,-0.100,0.000,0.000,0.000,Frame 153
28.857,-0.112,0.480,-0.100,0.000,0.000,0.000,Frame 154
28.897,-0.111,0.480,-0.100,0.000,0.000,0.000,Frame 155
28.937,-0.111,0.480,-0.100,0.000,0.000,0.000,Frame 156
28.977,-0.110,0.480,-0.100,0.000,0.000,0.000,Frame 157
29.017,-0.109,0.480,-0.100,0.000,0.000,0.000,Frame 158
29.057,-0.107,0.480,-0.100,0.000,0.000,0.000,Frame 159
29.097,-0.106,2.480,-0.100,0.000,0.000,0.000,Frame 160
29.137,-0.107,0.480,-0.100,0.000,0.000,0.000,Frame 161
29.177,-0.108,0.480,-0.100,0.000,0.000,0.000,Frame 162
29.217,-0.109,0.480,-0.100,0.000,0.000,0.000,Frame 163
29.257,-0.108,0.480,-0.100,0.000,0.000,0.000,Frame 164
29.297,-0.108,0.480,-0.100,0.000,0.000,0.000,Frame 165
29.337,-0.107,0.480,-0.100,0.000,0.000,0.000,Frame 166
29.377,-0.108,0.480,-0.100,0.000,0.000,0.000,Frame 167
29.417,-0.110,0.480,-0.100,0.000,0.000,0.000,Frame 168
29.457,-0.113,0.480,-0.100,0.000,0.000,0.000,Frame 169
29.497,-0.116,0.480,-0.100,0.000,0.000,0.000,Frame 170
29.537,-0.119,0.480,-0.100,0.000,0.000,0.000,Frame 171
29.577,-0.122,0.480,-0.100,0.000,0.000,0.000,Frame 172
29.617,-0.125,0.480,-0.100,0.000,0.000,0.000,Frame 173
29.657,-0.127,0.480,-0.100,0.000,0.000,0.000,Frame 174
29.697,-0.129,0.480,-0.100,0.000,0.000,0.000,Frame 175
29.737,-0.131,0.480,-0.100,0.000,0.000,0.000,Frame 176
29.777,-0.133,0.480,-0.100,0.000,0.000,0.000,Frame 177
29.817,-0.138,0.480,-0.100,0.000,0.000,0.000,Frame 178
29.857,-0.141,0.480,-0.100,0.000,0.000,0.000,Frame 179
29.897,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 180
29.937,-0.148,0.480,-0.100,0.000,0.000,0.000,Frame 181
29.977,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 182
30.017,-0.154,0.480,-0.100,0.000,0.000,0.000,Frame 183
30.057,-0.153,0.480,-0.100,0.000,0.000,0.000,Frame 184
30.097,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 185
30.137,-0.155,0.480,-0.100,0.000,0.000,0.000,Frame 186
30.177,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 187
30.218,-0.166,0.480,-0.100,0.000,0.000,0.000,Frame 188
30.258,-0.174,0.480,-0.100,0.000,0.000,0.000,Frame 189
30.298,-0.183,0.480,-0.100,0.000,0.000,0.000,Frame 190
30.338,-0.190,0.480,-0.100,0.000,0.000,0.000,Frame 191
30.378,-0.195,0.480,-0.100,0.000,0.000,0.000,Frame 192
30.418,-0.196,0.480,-0.100,0.000,0.000,0.000,Frame 193
30.458,-0.198,0.480,-0.100,0.000,0.000,0.000,Frame 194
30.498,-0.194,0.480,-0.100,0.000,0.000,0.000,Frame 195
30.538,-0.195,2.480,-0.100,0.000,0.000,0.000,Frame 196
30.578,-0.203,2.480,-0.100,0.000,0.000,0.000,Frame 197
30.618,-0.217,2.480,-0.100,0.000,0.000,0.000,Frame 198
30.658,-0.232,2.480,-0.100,0.000,0.000,0.000,Frame 199
30.698,-0.240,2.480,-0.100,0.000,0.000,0.000,Frame 200
30.738,-0.244,0.480,-0.100,0.000,0.000,0.000,Frame 201
30.778,-0.247,0.480,-0.100,0.000,0.000,0.000,Frame 202
30.818,-0.245,0.480,-0.100,0.000,0.000,0.000,Frame 203
33.139,-0.219,0.480,-0.100,0.000,0.000,0.000,Frame 204
33.179,-0.201,0.480,-0.100,0.000,0.000,0.000,Frame 205
33.219,-0.189,0.480,-0.100,0.000,0.000,0.000,Frame 206
33.259,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 207
33.299,-0.169,0.480,-0.100,0.000,0.000,0.000,Frame 208
33.339,-0.162,0.480,-0.100,0.000,0.000,0.000,Frame 209
33.379,-0.157,0.480,-0.100,0.000,0.000,0.000,Frame 210
33.419,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 211
33.459,-0.150,0.480,-0.100,0.000,0.000,0.000,Frame 212
33.499,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 213
33.539,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 214
33.579,-0.153,0.480,-0.100,0.000,0.000,0.000,Frame 215
33.619,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 216
33.659,-0.142,0.480,-0.100,0.000,0.000,0.000,Frame 217
33.700,-0.151,0.480,-0.100,0.000,0.000,0.000,Frame 218
33.740,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 219
33.780,-0.160,0.480,-0.100,0.000,0.000,0.000,Frame 220
33.820,-0.160,0.480,-0.100,0.000,0.000,0.000,Frame 221
33.860,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 222
33.900,-0.153,0.480,-0.100,0.000,0.000,0.000,Frame 223
33.940,-0.137,0.480,-0.100,0.000,0.000,0.000,Frame 224
33.980,-0.127,0.480,-0.100,0.000,0.000,0.000,Frame 225
34.020,-0.125,2.480,-0.100,0.000,0.000,0.000,Frame 226
34.060,-0.131,0.480,-0.100,0.000,0.000,0.000,Frame 227
34.100,-0.137,2.480,-0.100,0.000,0.000,0.000,Frame 228
34.140,-0.142,2.480,-0.100,0.000,0.000,0.000,Frame 229
34.180,-0.149,2.480,-0.100,0.000,0.000,0.000,Frame 230
34.220,-0.156,2.480,-0.100,0.000,0.000,0.000,Frame 231
34.260,-0.155,2.480,-0.100,0.000,0.000,0.000,Frame 232
34.300,-0.155,2.480,-0.100,0.000,0.000,0.000,Frame 233
34.340,-0.157,2.480,-0.100,0.000,0.000,0.000,Frame 234
34.380,-0.161,2.480,-0.100,0.000,0.000,0.000,Frame 235
34.420,-0.164,2.480,-0.100,0.000,0.000,0.000,Frame 236
34.460,-0.171,2.480,-0.100,0.000,0.000,0.000,Frame 237
34.500,-0.168,2.480,-0.100,0.000,0.000,0.000,Frame 238
34.540,-0.166,2.480,-0.100,0.000,0.000,0.000,Frame 239
34.580,-0.164,2.480,-0.100,0.000,0.000,0.000,Frame 240
34.620,-0.163,2.480,-0.100,0.000,0.000,0.000,Frame 241
34.660,-0.170,0.480,-0.100,0.000,0.000,0.000,Frame 242
34.700,-0.174,0.480,-0.100,0.000,0.000,0.000,Frame 243
34.740,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 244
34.780,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 245
34.820,-0.185,0.480,-0.100,0.000,0.000,0.000,Frame 246
34.860,-0.200,0.480,-0.100,0.000,0.000,0.000,Frame 247
34.900,-0.212,0.480,-0.100,0.000,0.000,0.000,Frame 248
34.940,-0.214,0.480,-0.100,0.000,0.000,0.000,Frame 249
34.980,-0.216,0.480,-0.100,0.000,0.000,0.000,Frame 250
35.020,-0.214,0.480,-0.100,0.000,0.000,0.000,Frame 251
35.060,-0.214,0.480,-0.100,0.000,0.000,0.000,Frame 252
35.100,-0.204,0.480,-0.100,0.000,0.000,0.000,Frame 253
35.140,-0.198,0.480,-0.100,0.000,0.000,0.000,Frame 254
35.180,-0.193,0.480,-0.100,0.000,0.000,0.000,Frame 255
35.220,-0.189,0.480,-0.100,0.000,0.000,0.000,Frame 256
35.260,-0.189,0.480,-0.100,0.000,0.000,0.000,Frame 257
35.300,-0.188,0.480,-0.100,0.000,0.000,0.000,Frame 258
35.340,-0.188,0.480,-0.100,0.000,0.000,0.000,Frame 259
35.380,-0.187,0.480,-0.100,0.000,0.000,0.000,Frame 260
35.421,-0.184,0.480,-0.100,0.000,0.000,0.000,Frame 261
35.461,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 262
35.501,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 263
35.541,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 264
35.581,-0.182,0.480,-0.100,0.000,0.000,0.000,Frame 265
35.621,-0.184,0.480,-0.100,0.000,0.000,0.000,Frame 266
35.661,-0.187,0.480,-0.100,0.000,0.000,0.000,Frame 267
35.701,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 268
35.741,-0.169,0.480,-0.100,0.000,0.000,0.000,Frame 269
35.781,-0.163,0.480,-0.100,0.000,0.000,0.000,Frame 270
35.821,-0.164,0.480,-0.100,0.000,0.000,0.000,Frame 271
35.861,-0.169,0.480,-0.100,0.000,0.000,0.000,Frame 272
35.901,-0.172,0.480,-0.100,0.000,0.000,0.000,Frame 273
35.941,-0.173,0.480,-0.100,0.000,0.000,0.000,Frame 274
35.981,-0.173,0.480,-0.100,0.000,0.000,0.000,Frame 275
36.021,-0.072,0.480,-0.100,0.000,0.000,0.000,Frame 276
36.061,-0.014,0.590,-0.100,0.000,0.000,0.000,Frame 277
36.101,0.027,0.692,-0.100,0.000,0.000,0.000,Frame 278
36.141,0.013,0.482,-0.100,0.000,0.000,0.000,Frame 279
36.181,-0.040,0.480,-0.100,0.000,0.000,0.000,Frame 280
36.221,-0.115,0.480,-0.100,0.000,0.000,0.000,Frame 281
36.261,-0.166,0.480,-0.100,0.000,0.000,0.000,Frame 282
36.301,-0.192,0.480,-0.100,0.000,0.000,0.000,Frame 283
36.341,-0.183,0.480,-0.100,0.000,0.000,0.000,Frame 284
36.381,-0.175,0.480,-0.100,0.000,0.000,0.000,Frame 285
36.421,-0.182,0.480,-0.100,0.000,0.000,0.000,Frame 286
36.461,-0.184,0.480,-0.100,0.000,0.000,0.000,Frame 287
36.501,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 288
36.541,-0.172,0.480,-0.100,0.000,0.000,0.000,Frame 289
36.581,-0.166,0.480,-0.100,0.000,0.000,0.000,Frame 290
36.621,-0.162,2.480,-0.100,0.000,0.000,0.000,Frame 291
36.661,-0.151,2.480,-0.100,0.000,0.000,0.000,Frame 292
36.701,-0.144,2.480,-0.100,0.000,0.000,0.000,Frame 293
36.741,-0.140,2.480,-0.100,0.000,0.000,0.000,Frame 294
36.781,-0.137,2.480,-0.100,0.000,0.000,0.000,Frame 295
36.821,-0.135,0.480,-0.100,0.000,0.000,0.000,Frame 296
36.861,-0.138,0.480,-0.100,0.000,0.000,0.000,Frame 297
36.901,-0.141,0.480,-0.100,0.000,0.000,0.000,Frame 298
36.941,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 299
36.981,-0.145,0.480,-0.100,0.000,0.000,0.000,Frame 300
37.021,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 301
37.061,-0.137,0.480,-0.100,0.000,0.000,0.000,Frame 302
37.101,-0.135,2.480,-0.100,0.000,0.000,0.000,Frame 303
37.142,-0.132,0.480,-0.100,0.000,0.000,0.000,Frame 304
37.182,-0.126,0.480,-0.100,0.000,0.000,0.000,Frame 305
37.222,-0.115,0.480,-0.100,0.000,0.000,0.000,Frame 306
37.262,-0.107,0.480,-0.100,0.000,0.000,0.000,Frame 307
37.302,-0.103,0.480,-0.100,0.000,0.000,0.000,Frame 308
37.342,-0.098,0.480,-0.100,0.000,0.000,0.000,Frame 309
37.382,-0.103,0.480,-0.100,0.000,0.000,0.000,Frame 310
37.422,-0.114,0.480,-0.100,0.000,0.000,0.000,Frame 311
37.462,-0.129,0.480,-0.100,0.000,0.000,0.000,Frame 312
37.502,-0.140,0.480,-0.100,0.000,0.000,0.000,Frame 313
37.542,-0.155,2.480,-0.100,0.000,0.000,0.000,Frame 314
37.582,-0.153,2.480,-0.100,0.000,0.000,0.000,Frame 315
37.622,-0.146,2.480,-0.100,0.000,0.000,0.000,Frame 316
37.662,-0.143,0.480,-0.100,0.000,0.000,0.000,Frame 317
37.702,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 318
37.742,-0.149,2.480,-0.100,0.000,0.000,0.000,Frame 319
37.782,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 320
37.822,-0.146,2.480,-0.100,0.000,0.000,0.000,Frame 321
37.862,-0.140,2.480,-0.100,0.000,0.000,0.000,Frame 322
37.902,-0.137,2.480,-0.100,0.000,0.000,0.000,Frame 323
37.942,-0.147,2.480,-0.100,0.000,0.000,0.000,Frame 324
37.982,-0.154,2.480,-0.100,0.000,0.000,0.000,Frame 325
38.022,-0.159,2.480,-0.100,0.000,0.000,0.000,Frame 326
38.062,-0.162,2.480,-0.100,0.000,0.000,0.000,Frame 327
38.102,-0.164,2.480,-0.100,0.000,0.000,0.000,Frame 328
38.142,-0.169,2.480,-0.100,0.000,0.000,0.000,Frame 329
38.182,-0.170,2.480,-0.100,0.000,0.000,0.000,Frame 330
38.222,-0.168,0.480,-0.100,0.000,0.000,0.000,Frame 331
38.262,-0.164,0.480,-0.100,0.000,0.000,0.000,Frame 332
38.302,-0.162,0.480,-0.100,0.000,0.000,0.000,Frame 333
38.342,-0.163,0.480,-0.100,0.000,0.000,0.000,Frame 334
38.382,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 335
38.422,-0.193,0.480,-0.100,0.000,0.000,0.000,Frame 336
38.462,-0.202,0.480,-0.100,0.000,0.000,0.000,Frame 337
38.502,-0.202,0.480,-0.100,0.000,0.000,0.000,Frame 338
38.542,-0.200,0.480,-0.100,0.000,0.000,0.000,Frame 339
38.582,-0.200,0.480,-0.100,0.000,0.000,0.000,Frame 340
38.622,-0.202,0.480,-0.100,0.000,0.000,0.000,Frame 341
38.662,-0.211,0.480,-0.100,0.000,0.000,0.000,Frame 342
38.702,-0.208,0.480,-0.100,0.000,0.000,0.000,Frame 343
38.742,-0.206,0.480,-0.100,0.000,0.000,0.000,Frame 344
38.782,-0.204,0.480,-0.100,0.000,0.000,0.000,Frame 345
38.822,-0.204,0.480,-0.100,0.000,0.000,0.000,Frame 346
38.863,-0.204,0.480,-0.100,0.000,0.000,0.000,Frame 347
38.903,-0.194,0.480,-0.100,0.000,0.000,0.000,Frame 348
38.943,-0.185,0.480,-0.100,0.000,0.000,0.000,Frame 349
38.983,-0.179,0.480,-0.100,0.000,0.000,0.000,Frame 350
39.023,-0.058,0.480,-0.100,0.000,0.000,0.000,Frame 351
39.303,-0.071,0.480,-0.100,0.000,0.000,0.000,Frame 352
39.343,-0.079,2.480,-0.100,0.000,0.000,0.000,Frame 353
39.383,-0.085,2.480,-0.100,0.000,0.000,0.000,Frame 354
39.423,-0.095,2.480,-0.100,0.000,0.000,0.000,Frame 355
39.463,-0.101,2.480,-0.100,0.000,0.000,0.000,Frame 356
39.503,-0.107,2.480,-0.100,0.000,0.000,0.000,Frame 357
39.543,-0.106,2.480,-0.100,0.000,0.000,0.000,Frame 358
39.583,-0.103,2.480,-0.100,0.000,0.000,0.000,Frame 359
39.623,-0.104,2.480,-0.100,0.000,0.000,0.000,Frame 360
39.663,-0.102,2.480,-0.100,0.000,0.000,0.000,Frame 361
39.703,-0.108,2.480,-0.100,0.000,0.000,0.000,Frame 362
39.743,-0.121,2.480,-0.100,0.000,0.000,0.000,Frame 363
39.783,-0.132,0.480,-0.100,0.000,0.000,0.000,Frame 364
39.823,-0.142,0.480,-0.100,0.000,0.000,0.000,Frame 365
39.863,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 366
39.903,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 367
39.943,-0.161,0.480,-0.100,0.000,0.000,0.000,Frame 368
39.983,-0.158,0.480,-0.100,0.000,0.000,0.000,Frame 369
40.023,-0.156,0.480,-0.100,0.000,0.000,0.000,Frame 370
40.063,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 371
40.103,-0.151,0.480,-0.100,0.000,0.000,0.000,Frame 372
40.143,-0.154,0.480,-0.100,0.000,0.000,0.000,Frame 373
40.183,-0.150,0.480,-0.100,0.000,0.000,0.000,Frame 374
40.223,-0.148,0.480,-0.100,0.000,0.000,0.000,Frame 375
40.263,-0.144,0.480,-0.100,0.000,0.000,0.000,Frame 376
40.303,-0.132,0.480,-0.100,0.000,0.000,0.000,Frame 377
40.343,-0.123,0.480,-0.100,0.000,0.000,0.000,Frame 378
40.383,-0.120,0.480,-0.100,0.000,0.000,0.000,Frame 379
40.423,-0.118,0.480,-0.100,0.000,0.000,0.000,Frame 380
40.463,-0.120,0.480,-0.100,0.000,0.000,0.000,Frame 381
40.503,-0.122,0.480,-0.100,0.000,0.000,0.000,Frame 382
40.543,-0.125,0.480,-0.100,0.000,0.000,0.000,Frame 383
40.584,-0.121,0.480,-0.100,0.000,0.000,0.000,Frame 384
40.624,-0.123,0.480,-0.100,0.000,0.000,0.000,Frame 385
