time,joint1,joint2,joint3,joint4,joint5,joint6,description
60.0,0.4,1.8,-0.5,-0.2,0.0,0.0,Routine 4 - Figure 8 peak
60.5,0.5,1.9,-0.45,-0.25,0.0,0.0,Routine 4 - Figure 8
61.0,0.5,2.2,-0.3,-0.2,0.0,0.0,Routine 4 - Figure 8
61.5,0.4,2.6,-0.2,-0.15,0.0,0.0,Routine 4 - Figure 8
62.0,0.3,3.0,-0.1,-0.1,0.0,0.0,Routine 4 - Figure 8
62.5,0.2,3.2,0.0,-0.05,0.0,0.0,Routine 4 - Figure 8
63.0,0.0,3.2,0.0,0.0,0.0,0.0,Routine 4 - Center
63.5,0.0,3.1,-0.05,0.0,0.0,0.0,Routine 5 - Spiral rise
64.0,0.0,3.0,-0.1,0.0,0.0,0.0,Routine 5 - Spiral
64.5,-0.2,2.8,-0.15,0.0,0.0,0.0,Routine 5 - Spiral
65.0,-0.3,2.6,-0.2,0.0,0.0,0.0,Routine 5 - Spiral
65.5,-0.4,2.4,-0.25,0.0,0.0,0.0,Routine 5 - Spiral
66.0,-0.5,2.2,-0.3,0.0,0.0,0.0,Routine 5 - Spiral
66.5,-0.6,2.0,-0.35,0.0,0.0,0.0,Routine 5 - Spiral
67.0,-0.6,1.85,-0.45,0.0,0.0,0.0,Routine 5 - Spiral
67.5,-0.5,1.7,-0.5,0.0,0.0,0.0,Routine 5 - Spiral
68.0,-0.4,1.63,-0.6,0.0,0.0,0.0,Routine 5 - Spiral top
68.5,-0.3,1.63,-0.6,0.0,0.0,0.0,Routine 5 - Spiral
69.0,-0.1,1.7,-0.55,0.0,0.0,0.0,Routine 5 - Spiral
69.5,0.0,1.85,-0.5,0.0,0.0,0.0,Routine 5 - Spiral
70.0,0.1,2.0,-0.4,0.0,0.0,0.0,Routine 5 - Spiral
70.5,0.3,2.2,-0.35,0.0,0.0,0.0,Routine 5 - Spiral
71.0,0.4,2.4,-0.3,0.0,0.0,0.0,Routine 5 - Spiral
71.5,0.5,2.6,-0.25,0.0,0.0,0.0,Routine 5 - Spiral
72.0,0.6,2.8,-0.2,0.0,0.0,0.0,Routine 5 - Spiral
72.5,0.6,3.0,-0.15,0.0,0.0,0.0,Routine 5 - Spiral
73.0,0.5,3.1,-0.1,0.0,0.0,0.0,Routine 5 - Spiral
73.5,0.4,3.15,-0.05,0.0,0.0,0.0,Routine 5 - Spiral
74.0,0.2,3.2,0.0,0.0,0.0,0.0,Routine 5 - Spiral
74.5,0.0,3.2,0.0,0.0,0.0,0.0,Routine 5 - Spiral complete
75.0,0.0,3.2,0.0,0.0,0.0,0.0,Finale - Hold
75.5,0.0,3.2,0.0,0.0,0.0,0.0,Finale - End
